							
"Inst
 Code"	Institute Name	Place	"Dist 
Code"	College Type	Year of Estab	Branch Name	"BC_D 
GIRLS"
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING	77521
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	98031
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	ELECTRONICS AND COMMUNICATION ENGINEERING	119725
AVNI	AVN INST OF ENGG TECHNOLOGY (AUTONOMOUS)	IBRAHIMPATAN	RR	PVT	2009	MECHANICAL ENGINEERING	156852
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	CIVIL ENGINEERING	112371
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (CYBER SECURITY)	156852
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	130894
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	COMPUTER SCIENCE AND ENGINEERING	123005
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	142813
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	ELECTRONICS AND COMMUNICATION ENGINEERING	141060
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	ELECTRICAL AND ELECTRONICS ENGINEERING	156852
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	INFORMATION TECHNOLOGY	144386
BIET	BHARAT INSTITUTE OF ENGG AND TECHNOLOGY	IBRAHIMPATNAM	RR	PVT	2001	MECHANICAL ENGINEERING	156852
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	CIVIL ENGINEERING	38238
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)	136752
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	COMPUTER SCIENCE AND ENGINEERING	113352
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	156852
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	COMPUTER SCIENCE AND ENGINEERING (IOT)	156852
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	COMPUTER ENGINEERING(SOFTWARE ENGINEERING)	156852
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	ELECTRONICS AND COMMUNICATION ENGINEERING	138482
BITN	BALAJI INSTITUTE OF TECHNOLOGY AND SCI (AUTONOMOUS)	NARSAMPET	WGL	PVT	2001	ELECTRICAL AND ELECTRONICS ENGINEERING	135979
